kamar	O
saya	O
ada	O
kendala	O
di	O
ac	B-ASPECT
tidak	B-SENTIMENT
berfungsi	I-SENTIMENT
optimal	I-SENTIMENT
.	O

dan	O
juga	O
wifi	B-ASPECT
koneksi	I-ASPECT
kurang	B-SENTIMENT
stabil	I-SENTIMENT
.	O

tempatnya	B-ASPECT
bagus	B-SENTIMENT
.	O

kolam	B-ASPECT
renangnya	I-ASPECT
bersih	B-SENTIMENT
.	O

oke	B-SENTIMENT
banget	I-SENTIMENT
,	O
tetapi	O
ac	B-ASPECT
nya	I-ASPECT
tidak	B-SENTIMENT
bisa	I-SENTIMENT
diatur	I-SENTIMENT
suhu	B-ASPECT
nya	I-ASPECT
.	O

pelayanan	B-ASPECT
mas	I-ASPECT
nya	I-ASPECT
sangat	B-SENTIMENT
baik	I-SENTIMENT
,	O
membantu	B-SENTIMENT
,	O
ramah	B-SENTIMENT
dan	O
komunikatif	B-SENTIMENT
,	O
kamar	B-ASPECT
sangat	B-SENTIMENT
bersih	I-SENTIMENT
.	O

kamar	B-ASPECT
mandi	I-ASPECT
sangat	B-SENTIMENT
baik	I-SENTIMENT
.	O

cuma	O
air	B-ASPECT
panasnya	I-ASPECT
tidak	B-SENTIMENT
bisa	I-SENTIMENT
lama	I-SENTIMENT
.	O

airyroom	B-ASPECT
ini	O
sangat	B-SENTIMENT
mengecewakan	I-SENTIMENT
dalam	O
hal	O
layanan	B-ASPECT
dan	O
kebersihan	B-ASPECT
kamar	I-ASPECT
.	O

saya	O
sampai	O
sanur	O
itu	O
sekitar	O
pukul	O
20.00	O
wita	O
mutermuter	O
cari	O
hotel	O
ini	O
,	O
sampai	O
telepon	O
ke	O
cs	B-ASPECT
pun	O
tidak	B-SENTIMENT
cukup	I-SENTIMENT
membantu	I-SENTIMENT
kami	O
menemukan	O
hotel	O
ini	O
.	O

kami	O
tanya	O
orang	O
sekitar	O
tidak	O
ada	O
yang	O
tahu	O
dimana	O
ananda	O
beach	O
hotel	O
ini	O
.	O

alamat	B-ASPECT
tidak	B-SENTIMENT
akurat	I-SENTIMENT
sama	O
sekali	O
!	O

recomended	B-SENTIMENT
,	O
hotel	O
dengan	O
price	B-ASPECT
murah	B-SENTIMENT
tetapi	O
fasilitas	B-ASPECT
oke	B-SENTIMENT
punya	O
.	O

makanannya	B-ASPECT
oke	B-SENTIMENT
,	O
pelayanan	B-ASPECT
oke	B-SENTIMENT
,	O
bapak	O
.	O

kamar	B-ASPECT
cukup	B-SENTIMENT
luas	I-SENTIMENT
,	O
interior	B-ASPECT
menarik	B-SENTIMENT
dan	O
unik	B-SENTIMENT
sekali	I-SENTIMENT
,	O
penempatan	O
furniture	O
tepat	O
,	O
suka	B-SENTIMENT
banget	I-SENTIMENT
dengan	O
kamar	B-ASPECT
mandinya	I-ASPECT
.	O

walpaper	B-ASPECT
kamar	I-ASPECT
beragam	B-SENTIMENT
,	O
pencahayaan	B-ASPECT
dibuat	O
dramatis	B-SENTIMENT
,	O
tidak	B-SENTIMENT
terlalu	I-SENTIMENT
terang	I-SENTIMENT
tetapi	O
baguss	B-SENTIMENT
.	O
hanya	O
saja	O
tidak	B-SENTIMENT
tersedia	I-SENTIMENT
sarapan	B-ASPECT
.	O

naik	O
ke	O
lantai	O
1	O
dengan	O
tangga	O
,	O
lift	B-ASPECT
tidak	B-SENTIMENT
berfungsi	I-SENTIMENT
.	O

lokasi	B-ASPECT
strategis	B-SENTIMENT
harga	B-ASPECT
terjangkau	B-SENTIMENT
bangunan	B-ASPECT
lama	B-SENTIMENT
memang	O
,	O
tetapi	O
dengan	O
harga	B-ASPECT
yang	O
terjangkau	B-SENTIMENT
dan	O
lokasi	O
tengah	O
kota	O
sangat	B-SENTIMENT
worthy	I-SENTIMENT
.	O

sudah	O
3x	O
ini	O
menginap	O
di	O
sini	O
wifi	B-ASPECT
kencang	B-SENTIMENT
dapat	B-SENTIMENT
sarapan	B-ASPECT
pula	O
,	O
menu	B-ASPECT
homey	B-SENTIMENT
tetapi	O
tasty	B-SENTIMENT
keamanan	B-ASPECT
24jam	O
ramahramah	B-SENTIMENT
overall	B-ASPECT
bagus	B-SENTIMENT
.	O

nyaman	B-SENTIMENT
banget	I-SENTIMENT
kamarnya	B-ASPECT
.	O
bersiih	B-SENTIMENT
.	O
dan	O
buat	O
betah	O
.	O

next	O
klau	O
kesana	O
bisa	O
jadi	O
rekomendasi	O
buat	O
tempat	O
tinggal	O
sementara	O
.	O

kamar	B-ASPECT
oke	B-SENTIMENT
.	O

lampu	B-ASPECT
kamar	I-ASPECT
mandi	I-ASPECT
ada	O
yang	O
mati	B-SENTIMENT
.	O

kamar	B-ASPECT
luas	B-SENTIMENT
dan	O
kedap	B-SENTIMENT
,	O
bersih	B-SENTIMENT
makanan	B-ASPECT
enak	B-SENTIMENT
.	O

dan	O
lokasi	B-ASPECT
strategis	B-SENTIMENT
.	O

kamar	B-ASPECT
bersih	B-SENTIMENT
,	O
kasur	B-ASPECT
bersih	B-SENTIMENT
(	O
aku	O
paling	O
cepat	O
bereaksi	O
kalau	O
ada	O
tungau	O
walau	O
cma	O
sedikit	O
)	O
.	O

24	O
jam	O
petugasnya	O
siap	O
sedia	O
buat	O
bantuin	O
.	O
top	B-SENTIMENT
deh	O
!	O

begitu	O
masuk	O
pertama	O
,	O
kesan	O
yang	O
diterima	O
adalah	O
jorok	B-SENTIMENT
.	O

mohon	O
maaf	O
,	O
ada	B-SENTIMENT
kotoran	I-SENTIMENT
(	O
eek	O
)	O
masih	O
melekat	O
di	O
bibir	B-ASPECT
kloset	I-ASPECT
.	O
seperti	O
tidak	O
dibersihkan	O
.	O

kemudian	O
semakin	O
malam	O
,	O
banyak	O
kecoak	O
bermunculan	O
,	O
awalnya	O
saya	O
baca	O
review	O
dari	O
app	O
tetangga	O
yang	O
bilang	O
banyak	O
kecoak	O
,	O
saya	O
tidak	O
percaya	O
.	O

tetapi	O
begitu	O
mengalami	O
sendiri	O
,	O
sangat	O
horor	O
,	O
tidur	O
jadi	O
tidak	O
nyenyak	O
.	O

over	B-ASPECT
all	I-ASPECT
enak	B-SENTIMENT
menginap	O
disini	O
,	O
.	O

lokasinya	B-ASPECT
strategis	B-SENTIMENT
jadi	O
kalau	O
mau	O
berasa	O
turis	O
bisa	O
jalan	O
kaki	O
kemana	O
mana	O
.	O

dan	O
yang	O
lebih	O
berasa	O
turisnya	O
ketika	O
malam	O
mau	O
ke	O
lagi	O
jalan	O
kaki	O
dan	O
sekeliling	O
lagi	O
ada	O
proyek	O
pembangunan	O
begitu	O
tertawa	O
.	O

oiya	O
ac	O
nya	O
sempat	O
netes	O
juga	O
sih	O
tetapi	O
tidak	O
apaapa	O
lah	O
bisa	O
diatasi	O
.	O

kamar	B-ASPECT
kotor	B-SENTIMENT
bau	B-SENTIMENT
,	O
.	O

ada	O
bekas	O
handuk	O
orng	O
(	O
kamar	O
gavdi	O
bersihkan	O
)	O
,	O
banyak	O
kecoak	O
dan	O
nyamuk	O
,	O
.	O

ranjang	B-ASPECT
kotor	B-SENTIMENT
,	O
pesan	O
yang	O
1	O
ranjang	O
besar	O
di	O
kasih	O
yang	O
